date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:01:13	813072/813072	---MCZ	200	added ('OK')	text/html	etag:W/%22f8a67c87c5bfa98e842dedba42a844f3%22	https://jerecodelacruz.wixsite.com/portfolio	C:/Users/jerec/Desktop/PorfolioWebsite/Portfolio/jerecodelacruz.wixsite.com/portfolio.html	(from )
00:01:13	483/483	---M--	200	added ('OK')	text/plain	etag:W/%221e3-Zvhxyb0e/s0tfh8v+u1GjxNb5Ww%22	https://jerecodelacruz.wixsite.com/robots.txt		(from )
00:01:13	137771/137771	---M-Z	200	added ('OK')	application/javascript	etag:W/%2218eb21e8d1074fd7a594d3748ba0cb33%22	https://static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	C:/Users/jerec/Desktop/PorfolioWebsite/Portfolio/static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	(from https://jerecodelacruz.wixsite.com/portfolio)
00:01:14	1171/1171	---M-Z	200	added ('OK')	application/javascript	etag:W/%22c187011c9a45c15a6fcbf5d62a5d755f%22	https://static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	C:/Users/jerec/Desktop/PorfolioWebsite/Portfolio/static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	(from https://jerecodelacruz.wixsite.com/portfolio)
00:01:14	3030/3030	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2009%20Sep%202024%2016:01:14%20GMT	https://jerecodelacruz.wixsite.com/c	C:/Users/jerec/Desktop/PorfolioWebsite/Portfolio/jerecodelacruz.wixsite.com/c.4.delayed	(from https://jerecodelacruz.wixsite.com/portfolio)
00:01:15	3030/3030	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2009%20Sep%202024%2016:01:15%20GMT	https://jerecodelacruz.wixsite.com/t	C:/Users/jerec/Desktop/PorfolioWebsite/Portfolio/jerecodelacruz.wixsite.com/t.5.delayed	(from https://jerecodelacruz.wixsite.com/portfolio)
00:01:15	65591/65591	---MCZ	200	added ('OK')	text/javascript	date:Mon,%2009%20Sep%202024%2016:01:13%20GMT	https://polyfill-fastly.io/v3/polyfill.min.js?features=fetch	C:/Users/jerec/Desktop/PorfolioWebsite/Portfolio/polyfill-fastly.io/v3/polyfill.mind82c.js	(from https://jerecodelacruz.wixsite.com/portfolio)
00:01:15	3029/3029	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2009%20Sep%202024%2016:01:15%20GMT	https://jerecodelacruz.wixsite.com/	C:/Users/jerec/Desktop/PorfolioWebsite/Portfolio/jerecodelacruz.wixsite.com/index.html	(from https://jerecodelacruz.wixsite.com/portfolio)
00:01:16	721921/721921	---MCZ	200	added ('OK')	text/html	etag:W/%2200b334ec8bf325d819cf3debf0a878a6%22	https://jerecodelacruz.wixsite.com/portfolio/copy-of-axie-floating-energy-counter	C:/Users/jerec/Desktop/PorfolioWebsite/Portfolio/jerecodelacruz.wixsite.com/portfolio/copy-of-axie-floating-energy-counter.html	(from https://jerecodelacruz.wixsite.com/portfolio)
00:01:16	754394/754394	---MCZ	200	added ('OK')	text/html	etag:W/%229fe035ce7b1940fefe1364106a6057ac%22	https://jerecodelacruz.wixsite.com/portfolio/ayos	C:/Users/jerec/Desktop/PorfolioWebsite/Portfolio/jerecodelacruz.wixsite.com/portfolio/ayos.html	(from https://jerecodelacruz.wixsite.com/portfolio)
00:01:18	713737/713737	---MCZ	200	added ('OK')	text/html	etag:W/%226fbd13dd2d95596042e7909d3835ffc4%22	https://jerecodelacruz.wixsite.com/portfolio/arcus	C:/Users/jerec/Desktop/PorfolioWebsite/Portfolio/jerecodelacruz.wixsite.com/portfolio/arcus.html	(from https://jerecodelacruz.wixsite.com/portfolio)
00:01:20	701501/701501	---MCZ	200	added ('OK')	text/html	etag:W/%2217c13c872e0452d0277980fae119f2ee%22	https://jerecodelacruz.wixsite.com/portfolio/axie-floating-energy-counter	C:/Users/jerec/Desktop/PorfolioWebsite/Portfolio/jerecodelacruz.wixsite.com/portfolio/axie-floating-energy-counter.html	(from https://jerecodelacruz.wixsite.com/portfolio)
00:01:23	712193/712193	---MCZ	200	added ('OK')	text/html	etag:W/%22736e0b324dbef2aa9d035c6afaeed0eb%22	https://jerecodelacruz.wixsite.com/portfolio/perya-games-1	C:/Users/jerec/Desktop/PorfolioWebsite/Portfolio/jerecodelacruz.wixsite.com/portfolio/perya-games-1.html	(from https://jerecodelacruz.wixsite.com/portfolio)
00:01:24	697361/697361	---MCZ	200	added ('OK')	text/html	etag:W/%22ad48de4d528f2c1317151a725ce9fdca%22	https://jerecodelacruz.wixsite.com/portfolio/ace-up	C:/Users/jerec/Desktop/PorfolioWebsite/Portfolio/jerecodelacruz.wixsite.com/portfolio/ace-up.html	(from https://jerecodelacruz.wixsite.com/portfolio)
00:01:26	696274/696274	---MCZ	200	added ('OK')	text/html	etag:W/%22fc3be25c9ac27b801e65a80afcfe4059%22	https://jerecodelacruz.wixsite.com/portfolio/artillery-simulator	C:/Users/jerec/Desktop/PorfolioWebsite/Portfolio/jerecodelacruz.wixsite.com/portfolio/artillery-simulator.html	(from https://jerecodelacruz.wixsite.com/portfolio)
00:01:27	678888/678888	---MCZ	200	added ('OK')	text/html	etag:W/%22dff4b261c3e47021db539ca74c9c271a%22	https://jerecodelacruz.wixsite.com/portfolio/first-aid-simulator	C:/Users/jerec/Desktop/PorfolioWebsite/Portfolio/jerecodelacruz.wixsite.com/portfolio/first-aid-simulator.html	(from https://jerecodelacruz.wixsite.com/portfolio)
00:01:29	693510/693510	---MCZ	200	added ('OK')	text/html	etag:W/%226375f4421ca3432050c112078d8088c5%22	https://jerecodelacruz.wixsite.com/portfolio/project-hope	C:/Users/jerec/Desktop/PorfolioWebsite/Portfolio/jerecodelacruz.wixsite.com/portfolio/project-hope.html	(from https://jerecodelacruz.wixsite.com/portfolio)
00:01:31	699772/699772	---MCZ	200	added ('OK')	text/html	etag:W/%223b7692babc8677fe6e9ddf1011ec89dc%22	https://jerecodelacruz.wixsite.com/portfolio/junior-clearning	C:/Users/jerec/Desktop/PorfolioWebsite/Portfolio/jerecodelacruz.wixsite.com/portfolio/junior-clearning.html	(from https://jerecodelacruz.wixsite.com/portfolio)
00:01:32	685181/685181	---MCZ	200	added ('OK')	text/html	etag:W/%225ed2db0a6ed4c1e1e3a3bf409e2d2afb%22	https://jerecodelacruz.wixsite.com/portfolio/memory-lamp	C:/Users/jerec/Desktop/PorfolioWebsite/Portfolio/jerecodelacruz.wixsite.com/portfolio/memory-lamp.html	(from https://jerecodelacruz.wixsite.com/portfolio)
00:01:34	689058/689058	---MCZ	200	added ('OK')	text/html	etag:W/%221c11d3cb10f0d9d2a8681684ffff3f1f%22	https://jerecodelacruz.wixsite.com/portfolio/times-three-dash	C:/Users/jerec/Desktop/PorfolioWebsite/Portfolio/jerecodelacruz.wixsite.com/portfolio/times-three-dash.html	(from https://jerecodelacruz.wixsite.com/portfolio)
00:01:36	703356/703356	---MCZ	200	added ('OK')	text/html	etag:W/%22bf1534bc0f5f4368fd80db0fd13c1b52%22	https://jerecodelacruz.wixsite.com/portfolio/bottle-cap-challenge	C:/Users/jerec/Desktop/PorfolioWebsite/Portfolio/jerecodelacruz.wixsite.com/portfolio/bottle-cap-challenge.html	(from https://jerecodelacruz.wixsite.com/portfolio)
